"Real for Spin Coating,0; Days Elapsed,0 - All data","Averages for Spin Coating,0; Days Elapsed,0","Real for Spin Coating,0; Days Elapsed,1 - All data","Averages for Spin Coating,0; Days Elapsed,1","Real for Spin Coating,1; Days Elapsed,0 - All data","Averages for Spin Coating,1; Days Elapsed,0","Real for Spin Coating,2; Days Elapsed,0 - All data","Averages for Spin Coating,2; Days Elapsed,0","Real for Spin Coating,3; Days Elapsed,0 - All data","Averages for Spin Coating,3; Days Elapsed,0","Real for Spin Coating,4; Days Elapsed,0 - All data","Averages for Spin Coating,4; Days Elapsed,0","Real for Spin Coating,5; Days Elapsed,0 - All data","Averages for Spin Coating,5; Days Elapsed,0","Real for Spin Coating,6; Days Elapsed,0 - All data","Averages for Spin Coating,6; Days Elapsed,0","Real for Spin Coating,7; Days Elapsed,0 - All data","Averages for Spin Coating,7; Days Elapsed,0","Real for Spin Coating,8; Days Elapsed,0 - All data","Averages for Spin Coating,8; Days Elapsed,0"
1.1,1.0247199982404709,0.95,0.9240922033786774,,,,,0.94,0.8026595413684845,,,0.95,0.9138863980770111,4.67,4.618093729019165,3.1,2.9919630885124207,0.95,0.9375708848237991
4.4,4.47553825378418,0.95,0.9346499294042587,,,,,6.69,6.778298735618591,,,4.29,3.976686418056488,1.88,1.963081181049347,4.01,4.370898246765137,0.95,0.9176872372627258
,,0.87,0.811397910118103,,,,,5.79,6.370569825172424,,,0.95,0.9317804574966431,2.62,1.5187855660915375,4.31,4.5351057052612305,0.95,0.9504378139972687
,,0.9,0.7528939545154572,,,,,0.95,0.926599532365799,,,0.97,0.9785900264978409,7.89,7.728337287902832,0.73,0.7777644544839859,2.28,1.965867042541504
,,4.52,4.469060897827148,,,,,6.47,6.322084069252014,,,0.95,0.932433158159256,7.39,7.377242207527161,2.72,2.395983576774597,3.2,3.2012280225753784
,,4.36,4.475114822387695,,,,,6.6,6.650182485580444,,,8.01,8.020044922828674,3.75,3.835918128490448,4.31,4.53024697303772,6.69,6.771350264549255
,,0.95,0.9197980612516403,,,,,0.95,0.9120512157678604,,,0.84,0.8121839910745621,,,0.95,0.93683160841465,5.52,6.021324992179871
,,0.95,0.9512045383453369,,,,,7.12,7.193883657455444,,,5.27,5.209556579589844,,,0.84,0.7950115352869034,1.49,1.625266969203949
,,0.84,0.7867898344993591,,,,,0.56,0.671791136264801,,,1.42,1.1111967861652374,,,6.47,7.33286440372467,1.04,0.9810055196285248
,,1.3,1.2886746525764465,,,,,0.95,0.9352848678827286,,,1.3,1.2758235037326813,,,8.84,8.928008556365967,0.86,0.7971833348274231
,,1.5,1.4687688052654266,,,,,5.52,5.922174096107483,,,6.26,6.834587931632996,,,,,0.82,0.808553546667099
,,4.75,4.247500538825989,,,,,3.75,3.7470796704292297,,,0.95,0.9246540069580078,,,,,0.95,0.94357930123806
,,6.55,6.1588650941848755,,,,,0.95,0.9506683498620987,,,0.82,0.7546075135469437,,,,,3.2,3.162176787853241
,,4.1,3.945706367492676,,,,,,,,,0.88,0.9156374633312225,,,,,0.95,0.9102204293012619
,,7.53,7.031362295150757,,,,,,,,,,,,,,,4.38,4.520535469055176
,,4.5,4.519764304161072,,,,,,,,,,,,,,,4.85,4.213492274284363
,,0.97,0.9790193140506744,,,,,,,,,,,,,,,0.93,0.8115363866090775
,,5.73,5.794173002243042,,,,,,,,,,,,,,,0.95,0.900890052318573
,,1.63,1.7776390314102173,,,,,,,,,,,,,,,,
